Name,Location,City,Region,P.O. Box,Phone,Mobile,Company page link,Logo URL
Miyabi Sushi & Bento,"Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road",Dubai,UAE,391073,"04-3868444,800MIYABI",050-2563842,https://www.yellowpages-uae.com/companywebsite.aspx?type=restaurant&q=www.miyabisushidubai.com?utm_source=Yellowpages-UAE.com%26utm_medium=YPUAEClicks%26utm_campaign=YPUAEWebAd,https://media.yellowpages-uae.com/wfile/webplogo/300762.webp
101 Parathas,"Near Grand Hotel, Abu Shagara",Sharjah,UAE,,06-5538106,06-5538136,,
18 Buffet,Al Garhoud,Dubai,UAE,,04-2999115,,,
18 Degree,"Hyatt Capital Gate, Al Arabi Street",Abu Dhabi,UAE,,02-5961440,,,
24h.ae Online Food Delivery Services,Al Barsha,Dubai,UAE,357347,04-4572307,,,
4 Guys,,Dubai,UAE,,04-4357377,,,
55 & 5th Restaurant,Saadiyat Island,Abu Dhabi,UAE,,02-4988008,,,
77 Veggie Boutique,"Boutique 11, Tiffany Tower, JLT",Dubai,UAE,644817,04-4224116,,,
800 Pizza,,Dubai,UAE,,80074992,,,
Aangan Restaurant,"Dhow Palace Hotel, Bur Dubai",Dubai,UAE,,04-3599992,,,
Abdul Aziz Restaurant,Sanaiya,Al Ain,UAE,16935,03-7211335,,,
Abdulla Zaid Restaurant,"Next to Al Shook Recording, Al Sham",Ras Al Khaimah,UAE,6744,07-2666693,,,
Abdullas Food Court,"US Accommodation, JAFZA",Jebel Ali,UAE,18009,04-8833115,,,
Abeer Cafeteria,"Al Rafaa Rd, Bur Dubai",Dubai,UAE,,04-3557715,050-5284843,,
Abshar Iranian Restaurant,Jumeirah,Dubai,UAE,56484,04-3940950,,,
Abshar Restaurant LLC,"Al Butin Plaza, Al Maktoum St, Deira",Dubai,UAE,63788,04-2230555,,,
Abu Fadi Restaurant,Jamal Abdel Naser St,Sharjah,UAE,82122,06-5535702,,,
Abu Hamdan Catering Services LLC,"1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah",Abu Dhabi,UAE,37471,02-5575757,,,
Abu Khalid Restaurant,"Sona Bazaar, Park Rd",Fujairah,UAE,456,09-2224592,,,
Abu Nasar Restaurant,TCA,Abu Dhabi,UAE,,02-6452229,,,
Abu Shakra Restaurant,Istiqlal St,Abu Dhabi,UAE,8090,02-6313400,,,
Accuro Specialist Support Services,Dubai Investment Park - 2,Dubai,UAE,283923,04-8071900,,,
Afamia Al Shaam,Khalifa,Abu Dhabi,UAE,,02-5526630,,,
Afdal Restaurant and Grill,Muroor Rd,Abu Dhabi,UAE,55204,02-4493916,,,
Afghan Darbar Restaurant LLC,"Near Mubarak Centre, Al Nabbah Area",Sharjah,UAE,40179,06-5638761,,,
Agemono Restaurant,"Al Khail Mall, Al Quoz Indl Area",Dubai,UAE,124145,04-3397925,,,
Ahl Almandi Restaurant,"Near NMC Hospital, Amman Rd, Al Nahda 2",Dubai,UAE,,04-2574448,,,
Ahmed Al Arab Restaurant,Muroor Rd,Abu Dhabi,UAE,70112,02-4431848,,,
Airlines Restaurant,Hamdan St,Abu Dhabi,UAE,4862,02-6335214,,,
Ajman Spring Restaurant & Grills,Opp Ajman Traffic Police Dept,Ajman,UAE,2,06-7462277,,,
Akher Saa Restaurant,Jamal Abdul Nasir Street,Sharjah,UAE,,06-5501999,,,
Al Abraj Restaurant,"Bhnd Joy Alukkas, Rolla",Sharjah,UAE,2907,06-5615335,,,
Al Afghani Al Khas Lil Kabab Restaurant LLC,"Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara",Sharjah,UAE,,06-5506674,,,
Al Afrah Al Thahabya Restaurant LLC,"Near Mega Mall, Abu Shagara",Sharjah,UAE,,06-5512323,056-2402323,,
